sample,raw_total_reads,clean_total_reads,clean_retention_rate,map_mapped_reads,map_mapping_rate,last_total_reads,last_retention_rate,paired_bam_total_reads,paired_bam_retention_rate
EPI-560_XH-WFJ,49040608,47306906,0.964648,47556821,0.998696,26428780,0.538916,26395592,0.998744
EPI-560_XH-WK,60974798,57963130,0.950608,58098923,0.996763,34351700,0.563375,34309533,0.998772
EPI-560_XH-XBH,63402406,62677704,0.98857,63028968,0.999361,39917646,0.629592,39863035,0.998632
EPI-560_XH-XGC,68073726,64600170,0.948974,64974924,0.998294,37624632,0.552704,37562073,0.998337
EPI-560_XH-YYC,63359626,62238302,0.982302,62758877,0.999148,37217591,0.587402,37157575,0.998387
EPI-560_XH-ZCX,73068216,71984166,0.985164,72458842,0.999396,48568404,0.664699,48507536,0.998747
EPI-560_XH-ZSF,60155514,57393772,0.95409,57570234,0.998416,35984145,0.598185,35955263,0.999197
EPI-560_XH-ZXL-1,68537732,66004606,0.96304,66349944,0.997852,37610989,0.548763,37546026,0.998273
EPI-561_XH-CBZ,42173374,40539570,0.96126,40762785,0.998756,22374113,0.530527,22344494,0.998676
EPI-561_XH-CY,34777446,32959882,0.947737,32993876,0.995906,18371107,0.528248,18353004,0.999015
EPI-561_XH-CYM,32929578,31169226,0.946542,31297033,0.998012,17637074,0.5356,17623741,0.999244
EPI-561_XH-DSX,40337526,38593460,0.956763,38881744,0.997703,23265898,0.57678,23221699,0.9981
EPI-561_XH-DTY,29651410,28509344,0.961484,28771677,0.999014,13107355,0.442048,13080844,0.997977
EPI-561_XH-FXF,38200950,36253502,0.949021,36437528,0.997956,21392845,0.560008,21356292,0.998291
EPI-561_XH-HXC,41481402,39751082,0.958287,39961021,0.997654,22218447,0.535624,22183212,0.998414
EPI-561_XH-HXL,37545198,35784780,0.953112,35926384,0.99835,19966432,0.531797,19947249,0.999039
EPI-561_XH-JHS,40268934,38604224,0.95866,38876145,0.998952,22633432,0.562057,22599525,0.998502
EPI-561_XH-JWL,30963546,29347870,0.94782,29470440,0.998864,18563463,0.599526,18547481,0.999139
EPI-561_XH-LHG,32223420,30875976,0.958184,30986433,0.997629,18397907,0.570948,18375795,0.998798
EPI-561_XH-LHY,35243744,33619272,0.953908,33734442,0.99799,20382831,0.578339,20357966,0.99878
EPI-561_XH-LQZ,43214892,41390492,0.957783,41850804,0.998913,24966264,0.577724,24902054,0.997428
EPI-561_XH-LYZ,29265998,27384834,0.935722,27489681,0.998436,17931561,0.61271,17912259,0.998924
EPI-561_XH-LZ,28385850,27271936,0.960758,27321755,0.997388,17872522,0.629628,17854138,0.998971
EPI-561_XH-SQH,45024080,43642404,0.969313,43925705,0.999487,24357774,0.540994,24336022,0.999107
EPI-561_XH-WAX,32484480,30851396,0.949727,31002076,0.998865,19266593,0.593101,19242324,0.99874
EPI-561_XH-WJ,42504632,40279346,0.947646,40537153,0.998616,23976990,0.564103,23939393,0.998432
EPI-561_XH-WJP,35703080,34239110,0.958996,34445628,0.998941,19456221,0.544945,19431299,0.998719
EPI-561_XH-WLM,35874852,34528276,0.962465,34712638,0.99698,18084045,0.504087,18060430,0.998694
EPI-561_XH-WX,41362250,38891370,0.940262,38953216,0.995812,20013454,0.483858,19988930,0.998775
