	bladder	bonemarrow	brain	breast	colonsigmoid	colontransverse	heart	hypothalamus	kidney	liver	lung	lymphnodes	ovary	pancreas	placenta	prostate	skin	stomach	testis
EPI-538_XH-MJJ	0.045546820736231265	0.08927850722649362	0.04438332593712292	0.05044455974607665	0.0624056324157652	0.06473254609395052	0.046640050520439395	0.042134428721732155	0.04564466119806021	0.04832713192701494	0.0572073781538841	0.06342667610394725	0.04347625703406583	0.047282678198239614	0.04653210318907853	0.04535898481182752	0.04846882758360553	0.06400535799138014	0.04470407241108456
EPI-538_XH-MYD	0.04568660394060553	0.08702428521482372	0.04361163834861305	0.04948545460413021	0.062354625837428436	0.06492338209322805	0.04667387164224449	0.04176025503284332	0.046772797352597185	0.05360910667960241	0.05653290912831995	0.06070628014814727	0.04339175148976576	0.04860824288344647	0.046790177246818894	0.045825042552850706	0.048181377157275565	0.06358950671903373	0.04447269192822528
EPI-538_XH-MZH	0.04289849906835309	0.11555497561250744	0.04201293289245779	0.04810718748854742	0.06242928705268416	0.06472069646602546	0.043718056677762636	0.03960455260450988	0.044095910618920486	0.051141285699480545	0.056648672897069735	0.06495511948965856	0.039858978541414646	0.04482937052657263	0.04466622129670009	0.04348318080178923	0.0472972106797569	0.06117415785768634	0.04280370372810309
EPI-538_XH-QJ	0.04394645664046583	0.10627536661383179	0.0429739522383833	0.04908904140811556	0.06237696354006057	0.0647882036180903	0.044903220895601524	0.040633762193228576	0.044493530049354496	0.049233444197128724	0.05691305466876345	0.06434032614443747	0.041270660155532074	0.04537615061715262	0.04553806997272326	0.04419888485523408	0.04776210637009597	0.062253754698948095	0.043633051122852505
EPI-538_XH-RWA	0.045297198422354024	0.09259436004806808	0.04427234372207234	0.050280622794132	0.06149237682261685	0.06390993497364397	0.04645236514812688	0.041939627256905	0.045622126170475424	0.048754111975823265	0.057345760085198184	0.06446186020176471	0.042854661410414135	0.04667962188852231	0.046127633559107414	0.045193436746268	0.048898309207351186	0.06286906472457306	0.04495458484258309
EPI-538_XH-RXJ	0.04512867407334963	0.09164602568517916	0.04228874474792154	0.04871473960612949	0.06294160804644526	0.06537695654335873	0.045772955055011	0.04065802359750871	0.04613904090750088	0.055081016320112176	0.05639246786326473	0.06121814923904946	0.04273076728350477	0.048793274885847684	0.046422185421339496	0.045379088907140715	0.04768379277741451	0.06425307593005436	0.043379413109867745
EPI-538_XH-SLX	0.045774849012688724	0.09171457454378502	0.04344949901691954	0.04986262750973617	0.061624441312439326	0.0638009965541393	0.04658853003694205	0.04168633301898923	0.04591988383298048	0.05015745861989765	0.056954720288089504	0.061996378572982014	0.043749739497529444	0.04787856253217323	0.046848259385332665	0.04551187471422529	0.04856471352605276	0.06359147486596069	0.04432508315913695
EPI-538_XH-WFH	0.04633207719021596	0.08538886419477154	0.045213372385842915	0.051435302788868424	0.05890769540025737	0.0613989774223031	0.047401583294030894	0.04270873005193647	0.047094575518097904	0.05154440320701062	0.05669192336332954	0.06180741053261619	0.044511079735207626	0.04865121731567689	0.04681098822155399	0.04616733952662768	0.04980725854668917	0.06212199963237375	0.0460052016725899
EPI-538_XH-WJQ	0.04582942325731732	0.08076335647701133	0.04351454401778599	0.04917429771662816	0.0642360686781101	0.06753340729131309	0.04669308266180367	0.04185031163917094	0.04684726186321682	0.053761341701985134	0.05573820643422607	0.059104626615764905	0.043794176913845136	0.04949517928586857	0.04809862231033392	0.04632114079643792	0.047275118660772	0.06590857651589181	0.04406125716251711
EPI-538_XH-WR	0.0452611267317352	0.08509460452405089	0.044737301358979124	0.050336563519208725	0.061368902483852884	0.06401873755139177	0.046336462038712396	0.04206163747113221	0.04693448067507511	0.055323810644875474	0.056148945958061684	0.061649287584544646	0.043128755401139786	0.04879761618353705	0.0459426781954929	0.045771324286177924	0.04851657151196181	0.06329848783990014	0.04527270604017029
EPI-538_XH-WSP	0.044944972603116494	0.0906045367228993	0.04418508611750123	0.049424946188122564	0.061872241849649186	0.06478104278288072	0.04622190043154633	0.04191835287311445	0.046701156831722816	0.05399967814525944	0.05612812281017261	0.06123502350456766	0.04248453686362219	0.047988818845694746	0.04631891801569785	0.04543817767364191	0.047999902333560496	0.06287314863771482	0.04487943676951513
EPI-538_XH-WTL	0.044584860991402804	0.09589036997199937	0.04447348241857363	0.04976947445803702	0.06209472031641353	0.0646404075428463	0.0459870042429611	0.041767330440375686	0.0452441229455456	0.048901388975894126	0.056853576948069875	0.06371315031036912	0.04229394081928997	0.04657252801051135	0.04602311624594108	0.04474894431904882	0.04803962376547665	0.06361106187299567	0.04479089540424833
EPI-538_XH-WXC	0.04363294120295529	0.10991127074112693	0.04303150334717323	0.04854604687659695	0.06219673639543303	0.06434815325674688	0.044906783119482256	0.040599010748659195	0.04432723406707901	0.04880048284972201	0.057206209266365694	0.06458693574266836	0.04094730311836609	0.04500416056153923	0.044791201363716796	0.043896396796916926	0.047598104256009674	0.06190841376545105	0.04376111252399137
EPI-538_XH-WZY	0.04394875286119378	0.11442513073532654	0.04175027023872917	0.04857580114551675	0.06148030592473045	0.06365894419897929	0.04453717398003307	0.03969402686941768	0.044279646839625236	0.04907265503500945	0.057460789621338076	0.06509745035272058	0.040873360326092484	0.04492286568804177	0.0452236740329612	0.0439364042713522	0.047831620735415054	0.060464103725595554	0.0427670234179217
EPI-538_XH-XAN	0.045122335062335484	0.0969633884533492	0.04422646898281654	0.04996326125017953	0.0610251938137042	0.06351119035101083	0.04627888195044174	0.04185513848030829	0.04579334019363246	0.0493842744406957	0.05730354214875313	0.06256552737955726	0.04278553165615128	0.046504350921917216	0.04624160352203579	0.04510279713052248	0.04858869062320744	0.06191024997149415	0.04487423366788742
EPI-538_XH-XGX	0.04573249471249396	0.08259345658679057	0.04469247838495427	0.04953791473927195	0.0611724776368283	0.06396243605873803	0.046948311061536865	0.04254953156154938	0.04823325186954996	0.058005121492964606	0.05495160316184596	0.05801889539671426	0.043671812307154716	0.049805271188623365	0.04734160960635652	0.04639424672171143	0.04818632187637101	0.06279064424923358	0.04541212138731111
