sample	true_state	OCR_pseudotime	OCR_score_0	OCR_score_1	gene_counts_pseudotime	gene_counts_score_0	gene_counts_score_1	consensus_peak_pseudotime	consensus_peak_score_0	consensus_peak_score_1	window_pseudotime	window_score_0	window_score_1	y_test
EPI-559_XH-TPX	S11	0.4573477208614349	0.3044097744048764	0.3352593096115794	0.2259709388017654	0.1132760094149978	0.23320039768982456	0.2369186580181121	0.1659638755361253	0.24263518755372748	0.6715192794799805	0.4892948799457388	0.6232288270000557	2
EPI-559_XH-WYB	S11	0.4417148232460022	0.26032503854020544	0.3315926303976353	0.2282422184944152	0.16876658088767715	0.23744928982857683	0.4144204556941986	0.1293111376500127	0.28339113161173257	0.5162572264671326	0.40354106868820344	0.31475600638750806	2
EPI-559_XH-YHT	S11	0.63805091381073	0.5112307679533701	0.5828008871940487	0.4406681358814239	0.36957694566322563	0.4329810186803327	0.5794621109962463	0.3042369464701669	0.14247875569043647	0.5457238554954529	0.721399260922182	0.5690233028059453	2
EPI-559_XH-ZRX	S10	0.3574407398700714	0.23884117086417134	0.26487633677902045	0.1422590762376785	0.27601592458803687	0.3248131450877967	0.2224100977182388	0.0040376331825030115	0.16427056328070105	0.3338403403759002	0.35924373711856766	0.3508836655867682	1
EPI-560_XH-CSP	S00	0.1413092464208603	0.24399414625043045	0.26859262467291306	0.3951471149921417	0.1394139554774824	0.0749467091947091	0.2045841515064239	0.02090125625961582	0.2444497148310569	0.1584050357341766	0.13668077959618743	0.22109073923195235	0
EPI-560_XH-CXY	S01	0.6195524334907532	0.6129769090893996	0.5867691530061785	0.7326440811157227	0.6155589400326903	0.7149200710479579	0.4525099396705627	0.24602854104737187	0.4384645473166362	0.6433074474334717	0.7573315418299554	0.7984742514600701	1
EPI-560_XH-DGH	S11	0.3823071420192718	0.3850669089535284	0.48161091558947255	0.5636196136474609	0.6180240626581467	0.4477426349565386	0.3950095176696777	0.3594710374371378	0.4460885524202833	0.8115611672401428	0.8478829635108757	0.7111099503020368	2
EPI-560_XH-GDA	S11	0.782764732837677	0.6475815545220772	0.6845324720806254	0.7142831683158875	0.5927722141245046	0.5220481302552319	0.5308672785758972	0.5234680573663669	0.21973065250379287	0.9054502844810486	0.8064169016124838	0.7232912190896178	2
EPI-560_XH-HLZ	S11	0.574744701385498	0.7059668161258278	0.5191257723513484	0.7533647418022156	0.5983040711114528	0.629472614140331	0.5471869111061096	0.49094972823786204	0.48632236206137286	0.9736761450767516	0.9439543109493712	0.8297794217291311	2
EPI-560_XH-HXZ	S11	1.0	0.9054976943732037	0.798617964580644	0.9271822571754456	0.8023629959236416	0.9148521668647265	0.9759328365325928	0.744427888495687	0.670306648859561	0.9336379170417786	0.8727072891551063	0.8294789707406293	2
EPI-560_XH-JQM	S00	0.571877121925354	0.26124806607050477	0.20574131199374193	0.3220818042755127	0.17042486858626982	0.17682977102509326	0.1251392960548401	0.06872301357455385	0.11555166492710692	0.204652190208435	0.3934064033458738	0.2311847193585024	0
EPI-560_XH-KFJ	S00	0.465602695941925	0.4901449981887926	0.4869326649062715	0.1857919991016388	0.4900099179809921	0.451495246712914	0.2695590853691101	0.40185431838501506	0.42862792703620767	0.4255968928337097	0.5534863257449065	0.5602441814496125	0
EPI-560_XH-LD	S11	0.322415143251419	0.2701749587722172	0.2429454363324697	0.3779202401638031	0.15227790892294138	0.021309597724465976	0.4653656482696533	0.3006789820349159	0.20198709354904637	0.4568034708499908	0.32948805041247675	0.3041952157087949	2
EPI-560_XH-LGZ	S11	0.3817752599716186	0.16371360806347435	0.18663178558044907	0.4779554605484009	0.16992614785271407	0.2465062502094577	0.3035216629505157	0.06616000847999136	0.3081866275467297	0.5482367277145386	0.2676873233690767	0.2761047371780676	2
EPI-560_XH-LRM	S10	0.184695303440094	0.21608894215306979	0.24857839460569922	0.1304851174354553	0.08696793404253184	0.0942579834510135	0.170143261551857	0.1498401335284074	0.10672667212850805	0.2561890184879303	0.3099554443275663	0.2152252311202138	1
EPI-560_XH-LY	S00	0.166247621178627	0.5269404468097351	0.48360712748299217	0.3102824091911316	0.44623993762820713	0.4233139085573458	0.1728941351175308	0.2510791425865315	0.3323831221545093	0.4101493656635284	0.678224272343514	0.5375335699180122	0
